trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
328,False,"{'a': 0.01, 'e': 0.0376282568071762}",20,13,15.249733563143359,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.01, 'e': 0.03725384939621581}",20,0,26.172794316157898,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.01, 'e': 0.036883167401239994}",20,6,-32.098776340406964,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
331,False,"{'a': 0.01, 'e': 0.0365161737537404}",20,12,12.317663277067508,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.01, 'e': 0.03615283175404641}",25,11,17.69313430792491,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
333,False,"{'a': 0.01, 'e': 0.0357931050676553}",20,10,15.568311999214243,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.01, 'e': 0.03543695772159864}",20,6,16.616071851048005,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.01, 'e': 0.035084354100845025}",20,5,26.39436201850708,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.01, 'e': 0.03473525894473856}",30,16,26.94910378589731,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.01, 'e': 0.03438963734347271}",30,19,19.234799979329463,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.01, 'e': 0.034047454734599344}",30,3,39.33687086091436,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.01, 'e': 0.033708676899572396}",25,0,24.90610196399476,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
340,False,"{'a': 0.01, 'e': 0.03337326996032608}",25,13,21.382939474681756,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.01, 'e': 0.03304120037588693}",30,22,15.061060271185482,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.01, 'e': 0.03271243493901982}",25,0,28.365033173562896,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
343,False,"{'a': 0.01, 'e': 0.03238694077290704}",20,10,13.62380680210766,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.01, 'e': 0.03206468532786077}",25,0,12.309634910034282,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
345,False,"{'a': 0.01, 'e': 0.03174563637806794}",25,20,10.356561585018895,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
